Strassenname,Strassentyp,Breitengrad,Laengengrad
Europabrücke,secondary,47.3969117,8.4942359
Lyrenweg,residential,47.3744429,8.4823194
Altstetterstrasse,tertiary,47.3789049,8.4837106
Luggwegstrasse,tertiary,47.3829372,8.4884259
Max-Högger-Strasse,secondary,47.3934378,8.4892764
Pfingstweidstrasse,primary,47.3925762,8.5026089
Pfingstweidbrücke,primary,47.3935518,8.5007034
Pfingstweidbrücke,primary,47.3926997,8.5026252
Hardbrücke,primary,47.3829755,8.5145813
Gessnerbrücke,tertiary,47.3761383,8.5355368
Bahnhofquai,tertiary,47.3769319,8.5418833
Museumstrasse,tertiary,47.3788679,8.5399485
Sihlquai,tertiary,47.3795924,8.5374885
Kreuzbühlstrasse,secondary,47.3657503,8.550774
Mühlebachstrasse,residential,47.3658477,8.5492999
Kreuzstrasse,residential,47.3627974,8.5484972
Merkurstrasse,tertiary,47.3666992,8.5533932
Zeltweg,secondary,47.3652482,8.5541709
Falkenstrasse,secondary,47.3657678,8.5485022
Bahnhofbrücke,tertiary,47.3769387,8.5432275
Klosbachstrasse,tertiary,47.3676657,8.5601265
Rütistrasse,residential,47.3715995,8.5642977
Ebelstrasse,residential,47.3758342,8.5657631
Waldhausstrasse,residential,47.3760225,8.5677263
Dolderstrasse,residential,47.3723769,8.5654955
Dolderstrasse,residential,47.3719186,8.5638111
Dolderstrasse,residential,47.3710808,8.5608187
Zeltweg,tertiary,47.3676907,8.5521332
Gemeindestrasse,residential,47.3697983,8.5561999
Rämistrasse,primary,47.3676899,8.5457941
Pilatusstrasse,residential,47.3736416,8.5669674
General-Guisan-Quai,secondary,47.3656233,8.5392871
Dreikönigbrücke,residential,47.3676184,8.5383666
Uraniastrasse,tertiary,47.3744782,8.5402001
Schweizergasse,residential,47.3765841,8.5365984
General-Guisan-Quai,secondary,47.3659245,8.5398899
Apollostrasse,residential,47.3645351,8.5553871
Badenerstrasse,tertiary,47.3732598,8.5278649
Stauffacherstrasse,tertiary,47.3713759,8.5302582
Rämistrasse,primary,47.3703021,8.549072
Utoquai,primary,47.3662763,8.5451995
Arterstrasse,residential,47.3669677,8.5555985
Neptunstrasse,residential,47.3664747,8.556714
Minervastrasse,residential,47.3677016,8.5543632
Hohenbühlstrasse,residential,47.3660461,8.552841
Limmatplatz,tertiary,47.3849355,8.5319566
Spöndlistrasse,residential,47.3797096,8.5486066
Schmelzbergstrasse,residential,47.3769568,8.5487316
Tannenstrasse,tertiary,47.3772577,8.5477827
Waaggasse,residential,47.3701757,8.539974
Kreuzstrasse,residential,47.3654843,8.5536255
Feldeggstrasse,residential,47.361948,8.5534943
Zollikerstrasse,tertiary,47.3645737,8.5542581
Kirchenweg,residential,47.3612159,8.5556285
Bergstrasse,secondary,47.3755984,8.5600049
Hohenbühlstrasse,residential,47.3664912,8.5518563
Beustweg,residential,47.3678401,8.5534942
